Audio File|Original Transcription|Synthesized Transcription
bas_rnd1_001.wav| De asemenea contează și dacă imobilul este la stradă sau nu.| De asemenea, contează și dacă imobilul este la stradă sau nu.
bas_rnd1_002.wav| până în prezent proiectul avea sustinere a ambelor partide care și-au împărțit deja conducerea noilor renditălți.| Până în prezent, proiectul avea sustinere a ambelor partide care și-au împărțit deja conducerea noilor rendite alții.
bas_rnd1_003.wav| Măreanul urăște lipsa de punctualitate și fățănicia.| Voi mareanul urăște lipsa de punctualitate și fățărnicia.
bas_rnd1_004.wav| în acest camin au prioritate studenții în ani terminali.| În acest camin au prioritate studenții în ani terminali.
bas_rnd1_005.wav| dincolo de efectele economice și comerciale, dreva ne face să avem și lipsă de încredere în justiție.| dincolo de efectele economice și comerciale, greva ne face să avem și liță de împredere în justiție.
bas_rnd1_006.wav| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereții legale din apartamente.| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereții legale din apartamente.
bas_rnd1_007.wav| Ampluarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la poalele tâmpei.| Amplioarea nu va fi aceeași, dar organizatorii se vor strădi să aducă produse autentice germane la palele tămpei.
bas_rnd1_008.wav|" Vreau să continu în acest domeniu până la sfârșitul vieții"", spune cu o mină foarte serioasă micuța."|" Vreau să continu în acest domeniu până la sfârșitul vietii."" Spune cu o mină foarte serioasă micută."
bas_rnd1_009.wav| Căzăturile sunt la ordine a zilei. Am picioarele negre, sunt ca un dalmatian.| Cazaturile sunt la ordine a zilei. Am picioarele negre, sunt ca un darmatian.
bas_rnd1_010.wav| pe de altă parte conform rezultate lor obținute.| de altă parte conform rezultatelor obținute.
bas_rnd1_011.wav| Nu este însă la fel de clar cu cât ar crește consumul și dependența de droguri.| Nu este însă la fel de clar cu cât ar crește consumul și dependența de drogul.
bas_rnd1_012.wav| Departajarea se face pe probe de 50 de metri care trebuiesc parcurse în 10 secunde.| Departajarea se face pe probe de 50 de metri care trebuiesc parcurse în 10 secunde.
bas_rnd1_013.wav| O păstrez ca amintire la loc de cinste își amintește informaticianul.| o păstrez ca amintire la loc de ciste și amintește informaticiană.
bas_rnd1_014.wav| Sabau spune că stilul de joc al lăncierilor este același ca și pe vremea când juca el în Olanda.| Să vă au spune că stilul de joc al lăncierilor este același ca și pe vremea când juca el în Olanda.
bas_rnd1_015.wav| M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spune ea.| M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spune ea.
bas_rnd1_016.wav| Dacă îi prindem, nu îi exmatriculăm din facultate.| Dacă îi prindem, nu îi îns matriculăm din facultate.
bas_rnd1_017.wav| Pe lângă câini bătrâne avem și căței foarte drăguți și inteligenți.| Pe lângă câini bătrâne, avem și căței foarte drăguți și inteligenti.
bas_rnd1_018.wav| Ion Tirinescu deține funcția de șef al poliției rutiere Hunedoara din anul 2005.| Ion Tilinescu deține funcția de șef al Poliției Rutiere Vunedoară din anul 2005.
bas_rnd1_019.wav| Răspunde nu numai de funcționarea optimă, ci și de asigurarea baniilor pentru toate cheltuielile radio-ului.| răspunde n-o numai de funcționarea optimă, ci și de asigurarea banilor pentru toate tertuelile radio-ului.
bas_rnd1_020.wav| I-a plăcut jurnalismul și pentru a ajunge să fie formator de opinie a început Facultatea la Pitei.| Ea plăcut journalismul și pentru a ajunge să fie formator de opinia a început facultatea la Pitei.
bas_rnd1_021.wav| Sunt unii care au descoperit pe aceste rețele foșcolești de școală.| Sunt unii care au descoperit pe aceste retre de foci colegi de scoala.
bas_rnd1_022.wav| Arădenii sunt din ce în ce mai speriați la gândul că trebuie să circule pe drumul Arad și Ria.| arădenii sunt din ce în ce mai speriați la gânduri că trebuie să cecule pe drumul arat și ea.
bas_rnd1_023.wav| Pe toate rutele din județul Vâlcea se fac, începând de săptămâna aceasta, controale care vizează activitățile de transport persoane.| Pe toate rutele din Județul Vocea se fac, începând de săptămână această, controale care vizează activitățile de transport persoane.
bas_rnd1_024.wav| Capitala și Nordestul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante.| capitala și nordestul au cunoscut cele mai mari ritmuri de prestere ale sumelor restante.
bas_rnd1_025.wav| Vechile cabinete erau la o distanță de 150 metri de spital și nu corespundeau reglementărilor Ministerului sănătății.| Vecile cabinete erau la o distanță de 150 metri de spital și nu corespundeau reglementărilor ministerului sănătății.
bas_rnd1_026.wav| Fără aceste două elemente de bază, nu ai cum să lucrezi cu niciun copil.| Fără aceste două elemente de bază nu ai cum să lucrezi cu niciun copil.
bas_rnd1_027.wav| Dorim să atragem finanțarea printr-un program transfrontalier cu República Moldova.| Dorim să atragem finanțarea printr-un program transfrontalier cu Republica Moldova.
bas_rnd1_028.wav| La ora actuală, oamenii sunt preocupați de a avia și nu mai sunt preocupați de a fi.| la ora actuală oamenii sunt preocupați de a avea și nu mai sunt preocupați de a fi.
bas_rnd1_029.wav| Românii din străinătate nu există pentru autoritățile române de acolo, a oftat mama bărbatului.| Românii distrinătate nu există pentru autoritățile române de acolo, au stat mama bărbatului.
bas_rnd1_030.wav| De asemenea este organizat și Campionatul Național de Caraudio.| De asemenea, este organizat și Campeonatul Național de Caraudio.
bas_rnd1_031.wav| printre taxele cele mai mari le are Facultatea de Drept.| Intre taxele cele mai mari le are Facultatea de Delt.
bas_rnd1_032.wav| Comitetul de Implementare are rolul de a supravegea îndeplinirea obligaților ce revin părților la convenție.| Comitetul de Implementare are rolul de a supravegea îndeplinirea obligațiilor ce revin părților la covenție.
bas_rnd1_033.wav| Locația a fost stabilită de către inspectoratul școlar Rarad la grădinița cu program prelungiții toată în centrul orașului.| Locatia a fost stabilită de către inspectoratul scolar Arad la gradinita cu program prelungit situată în centrul orașului.
bas_rnd1_034.wav| Precizează Gheorghe Crivac, unul dintre prorectorii Universității Pitești.| precisează Gheorghe Clivac, unul dintre prorectorii Universității Pitei.
bas_rnd1_035.wav| Uneori suntem chiar mai bune decât ei.| Uneori suntem chiar mai bune decat ei.
bas_rnd1_036.wav| Compania mai are activități în domenii precum imobiliare, tehnologie și energie.| Compania mai are activități în domenii precum imobiliare, tehnologie și energie.
bas_rnd1_038.wav| Din prima până în ultima secundă, convoarbirea telefonică e o beșteleală de cartiere aplicată cu toată impetuozitatea sârmanului cetățean.| Din prima până în ultima secundă, convorbirea telefonică e o beșteleală de cartier aplicată cu toată impetuozitatea sărmanului cetătean.
bas_rnd1_039.wav| În localitate există șase polițiști dintre care unul este în concediu și unul are mână ruptă.| În o localitate există șase poliții dintre care unul este în concediu și unul are mână ruptă.
bas_rnd1_040.wav| Încă de la prima accesare m-a atras foarte mult.| Încă de la prima accesare m-a atreas foarte mult.
bas_rnd1_041.wav| Cât durează până câștigă, nu poate spune.| Câsturează până câștigă, nu poate spune.
bas_rnd1_042.wav| Dacă și pe data de 30 septembrie se întârzie cu primirea avansului, pe 2 octombrie la ora 7.| dacă și pe dată de 30 septembrie se întârzie cuprimirea avasului pe 2 octombrie la ora 7.
bas_rnd1_043.wav| Copiii care țineau în brațe bărcuțe cu telecomandă au înconjurat Fântâna Speranței, gata de cursă.| Copiii care tineau in brate barcute cu telecomanda un cojurat sunt in aspiranti, gata de cusa.
bas_rnd1_044.wav| În blocul 6, două scări, adică aproximativ 30 de apartamente erau terminate când au venit actele de la primărie.| În blocul 6, două scări, adică aproximativ 30 de apartamente erau terminate când au venit actele de la primărie.
bas_rnd1_045.wav| a fost testat, alcol test, rezultatul fiind negativ.| a fost testat acolo test rezultatul fiind negativ.
bas_rnd1_046.wav| Până la urmă rămâi oricum doar cu amintirile plăcute, obosea la trece cu un somn bun.| Până la urmără mă e oricum doar cu amintirile plăcute. Oboseam la trece cu un somn bun.
bas_rnd1_047.wav| De atunci am învățat foarte multe persoane să danseze pe diferite ritmuri.| De atunci am învățat foarte multe persoane să dazeze pe diferite ritmuri.
bas_rnd1_048.wav| După ce i-au administrat înghejirile de urgență, medicii l-au dus la reanimare, unde se află subsupraveghere de specialitate.| După ce i-au administrat înlejirile de urgență, medicii l-au dus la reanimare, unde se află sub supravegere de specialitate.
bas_rnd1_049.wav| Viorica Crisan, directorul muzeului, stă zilnic peste program la serviciu.| Viorica Crisani, directorul muzeului, stăzienic peste program la serviciu.
bas_rnd1_050.wav| Eșecul statului federal în fața cicloanelor rămâne unul din cele mai profunde stigmate ale președenției lui George.| Feșecul statului federal în fața cicloanelor rămâne unul din cele mai profunde scritmate ale președinției lui George.
bas_rnd1_051.wav| Cel mai mare succes la vânzări l-a avut imediat după debut.| Cel mai mare succes la vânzări l-a avut imediat după debut.
bas_rnd1_052.wav| Parfumul reflectă atitudinea și stilul unic al unei femei a spus cântăreața.| Parfumul reflectă atitudinea și stilul unic al unei femei a spus cântăreata.
bas_rnd1_053.wav| Responsabil pentru această stare de lucruri este consumul prea mare de alcool și fumatul excesiv.| Responsabil pentru această stare de lucruri este consumul prea mare de acol și fumatul excesiv.
bas_rnd1_054.wav| Carleton de Burg este situat la aproximativ 15 km de aeroportul din oras.| Carton de brug este situat la aproximativ 15 km de aeroportul din oras.
bas_rnd1_055.wav| ar trebui să mai angajeze preoți.| ar trebui să mai îndajeze preoli.
bas_rnd1_056.wav| Băi, mărenii vor putea cumpăra produse chiar și cu 5 lei.| bai mărenii vor putea cumpăra produse chiar și cu cinci ulei.
bas_rnd1_057.wav| Familie casătorită are doi copii și doi nepotii.| O familie căsătorită are 2 copii și 2 nepoi.
bas_rnd1_058.wav| Mi-au placut oamenii si mereu am avut incredere in oameni.| Mi-au plăcut oamenii și mereu am avut încredere în oameni.
bas_rnd1_059.wav| a uitat că nu mai este propagandist de partid, ci reprezentant al statului român.| a uitat că nu mai este propagandist de partid, ci reprezentant al statului român.
bas_rnd1_060.wav| Această activitate este considerată comerții liciti de produse care atrage de la sine sanțiuni date de polițiștii comunitari.| Această activitate este considerată comerținicit de produse care atrage de la sine sanțiuni date de politiștii comunitari.
bas_rnd1_061.wav| Doar în primele zile inspectorii au confiscat aproape jumătate de kilogram de aur nemarcat de la bijuterile din Timișoara.| Doar în primele zile inspectorii au confiscat aproape jumătate de kilogram de aur nemarcate la bijuterile din Timișoară.
bas_rnd1_062.wav| Ei au făcut recurs și au solicitat judecătorilor curții de apel Timișoara să fie eliberați.| Ei au făcut recurs și au solicitat judecătorilor curții de a peste mișoara să fie liberati.
bas_rnd1_063.wav| și polițiștii se vor alătura colegilor lor care vor protesta în fața Palatului Parlamentului.| politiștii se vor alătura colegilor lor care vor protesta în fața Paatului Parlamentului.
bas_rnd1_064.wav| Artiștii armăni îmbrăcați în costume populare tradiționale au susținut și un spectacol cu melodii tradiționale populare din zona Moscopole.| Artiștii armani îmbracați în costume populare tradiționale au susținut și un spectacol cu melodii tradiționale populare din zona Moscopole.
bas_rnd1_065.wav| Deocamdată lista este deschisă, spune Magda Gheorghezcu, purtător de cuvânt al AGOFM Maramurești.| Deocamdată lista este deschis, a spune Magda Gheorghezcu, purtător de cuvânt AJO Feme Maramure.
bas_rnd1_066.wav| Cu doi ani în urmă a fost demarată racordarea Severinului la rețeaua de gaze.| Cu doi ani în urmă a fost demarată racordarea Severinului la rețeaua de gaze.
bas_rnd1_067.wav| Studenții care învață la Universitatea Constantin Brâncoveanu se confruntă cu o problemă deosebit de gravă.| Studentii care învață la Universitatea Constantin Brâncoveanu se confruntă cu o problemă deosebit de gravă.
bas_rnd1_068.wav| Nu este o lege care se interzică, dar este un statut care nici nu este aprobat cel puțin.| Nu este o lege care să intezică, dar este un statut care nici nu este aprobat cel puțin.
bas_rnd1_069.wav| Explicatia cu necorelarea vitezelor este una simplista.| Explicatia cu necorelarea vitezelor este una simplista.
bas_rnd1_070.wav| Noile căpetenii de la București erau nerăbdătoare să ia lumină de la Moscova.| Noile căpetenii de la București erau nerădătoare să ia lumină de la Moscovă.
bas_rnd1_071.wav| Alexandru Wancia a trăit 20 de ani la galați, unde a și deprins pasiunea pentru ambarcațiuni.| Alexandru Ancea a trăit 20 de ani la galați, unde a și deprins pasiunea pentru embarcațiuni.
bas_rnd1_072.wav| a traversat strada moment în care șase persoane s-au năpustit asupra ei.| Ati avesa strada in momentul in care 6 persoane s-au inapustit asupra ei.
bas_rnd1_073.wav| Este foarte bine pentru pandurii că vor merge cu un moral bun la jocul cu steaua.| Este foarte bine pentru pandurii că vom merge cu un oral bun la jocul cu steaua.
bas_rnd1_074.wav| stiu chiar înainte de a trece printr-un control medical de specialitate cum vor să nască.| știu chiar înainte de a trece printr-un control medical de specialitate cum vor să nască.
bas_rnd1_075.wav| Honda a intrat în Formula 1 în 2005 când a cumpărat echipa Barca.| Honda a intrat in Formula 1 în 2005 când a cumpărat echipa Barca.
bas_rnd1_076.wav| Acesta ar urma să devină operațional la începutul lui 2011, potrivit Ager Press.| Acesta ar urma să devină operațional la începutului 2011 potrivit a GEPRE.
bas_rnd1_077.wav| Ea nu este microbistă, dar cunoaște opțiunea mea și mă înțelege.| Liană este microbistă, dar cunoaște opțiunea mea și mă înțelege.
bas_rnd1_078.wav| Nu suntem îndreptătiți să mai luăm și alte măsuri.| Nu suntem îndreptățiți să mai luăm și alte măsuri.
bas_rnd1_079.wav| Eu primesc de la medicii de familie rapoarte zilnice în care îmi spun că toți suspectii sunt monitorizati.| Eu primesc de la medicii de familierea parte zilnice in care imi spun ca toti suspectii sunt monitorizati.
bas_rnd1_080.wav| Grigore Anca, 40 de ani, ni-ncomuna Plopsorru si-a ucis vecina si-a atarat-o pana la poarta altui localnic.| Grigorianca, 40 de ani din comuna Plopsoru și a ucis lecina și a tărut-o până la poarta altui localii.
bas_rnd1_081.wav| Nu-mi dau seama cum va fi organizat traficul dacă se construiește podul.| Nu-mi dau seama cum va fi organizat traficul dacă se construiește poduri.
bas_rnd1_082.wav| Poliția rutieră a împlasat astăzi radare pe DN6.| Poliția rutieră a împlasat astăzi rada repede DN6.
bas_rnd1_083.wav| Îmi plac cartofii prăjiti foarte mult, a spus Gabriel Safta.| Îmi plac catăfii prăjiti foarte mult, s-a spus Dabriel săfta.
bas_rnd1_084.wav| M-au pândit până au oprit mașinile la semafor, apoi au venit spre mine trei bărbați și trei femei.| M-au pandit pana au oprit masinile la semafor, apoi au venit spre mine trei barbali si trei femei.
bas_rnd1_085.wav| Consecințele ar fi catastrofale pentru sportul francez, a spus Michel Brun, vicepreședintele CNOSF.| Consecintele ar fi catastrofale pentru sportul francez, a spus Michel Brun, vicepresedintele CNOSF.
bas_rnd1_086.wav| După primele cercetări, se pare că șoferul autoturismului, Fiat Punto, a pierdut controlul volanului.| După primele cercetări, se pare că șoferul autoturismului, Fiat.op, pierdut controlul volanului.
bas_rnd1_087.wav| Zilnic, traficul rutier de pe cele mai mari străze ale orașului este îngreunat de căruțași.| Zilnic, traficul rutier de pe cele mai mari străzi ale orașului este în greonat de cărutări.
bas_rnd1_088.wav| Și așa procesele durează mult. Acum vor dura și mai mult. Precizează mintașul.| Și așa procesele durează mult, acum vor dura și mai mult precizează mintea.
bas_rnd1_089.wav| Folcul ține de starea de Spirit a fiecăruia dintre noi.| si oricur tine de stare, de spirita fiecarea dintre noi.
bas_rnd1_090.wav| Acesta este evident visul în ei nopți de vară care va rămâne un vis.| Acesta este evident visul unui nău de vară care va rămâne în vis.
bas_rnd1_091.wav| Târgul reunește importatori, producători și comerciali din toată țara și cu produse de toate felurile.| Trarcul reunește importatori, producători și comercianți din toată țara și cu produse de toate felurile.
bas_rnd1_092.wav| 16 ani într-o companie multinacională, dintre care 12 ani pe poziția de director general este prea mult.| 16 ani într-o companie multinacională, dintre care 12 ani pe poziția de director general este prea mult.
bas_rnd1_093.wav| Activitățile de aici sunt o relaxare pentru noi.| Activitățile de aici sunt o relaxare pentru maic.
bas_rnd1_094.wav| Evoluția prețurilor cerute de către proprietarii care vând în rate au urmat tândința și variațiile pieței.| evoluția prețurilor cerute de către proprietarii care vând în lateau o mai tendință și variațiile pieții.
bas_rnd1_095.wav| S-a făcut beznă în vagon, au căzut bagajele, a declarat pentru realitate TV unul dintre martori.| S-a făcut benda în vagon, au căzut bagajele, a declarat pentru realitatea TV unul dintre mărtoi.
bas_rnd1_096.wav| Brațul bărbatului a rămas în combină și a fost complet trivit.| Droatul bărbatului a rămas în combină și a fost complet ținit.
bas_rnd1_097.wav| Pentru mine picatura este ca o tabletă de inimă, mă relaxează și mă face să mă simt minunat.| Pentru mine picatura este ca o tabletă de inima. Mă relaxează și mă face să mă simt minunat.
bas_rnd1_098.wav| Consiliul județean va demara în curând vânzarea cabinetelor medicale din policlinica Giurgiu.| Consiliul Județean va demara în curând vânzarea cabinetelor medicale din Policlinica Giurgiu.
bas_rnd1_099.wav| Aceste insule sunt denumite teritoriile de nord de Japonia și curile de sud de Rus.| Aceste insule sunt denumite teritoriile de nord de Japonia și curile de sud de Rui.
bas_rnd1_100.wav| Ea a fost o mă mică tânără și se laudă cu asta.| Eu am fost o mamică tânără și se laudă cu asta.
bas_rnd1_101.wav| s-a intrat in Thai Break acolo unde Argentinianul l-a condus cu 6 la 3.| a intrat in tiebrec acolo unde Argentinianul a condus cu 6 la 3.
bas_rnd1_102.wav| și am spus clar că așa ceva nu pot accepta.| și am spus clar că așa ceva nu pot accepta.
bas_rnd1_103.wav| În opinia numeroși comentatorii aceasta este cea mai mare nerealizare a coaliției.| În opinia numeroși, comentatoria aceasta este cea mai mare nerealizare a coaliției.
bas_rnd1_104.wav| A fost singura finală care s-a decis după trei seturi.| a fost timura finala care s-a decis dupa 3 seturi.
bas_rnd1_105.wav| El este destul de stabil.| El este destul de stabil.
