Audio File|Original Transcription|Synthesized Transcription
sgs_rnd1_001.wav| De asemenea, contează și dacă imobilul este la stradă sau nu.| De asemenea, contează și dacă imobilul este la stradă sau nu.
sgs_rnd1_002.wav| Până în prezent, proiectul avea susținere a ambelor partide care și-au împărțit deja conducerea noilor entități.| În present, proiectul avea susinere a ambelor partile care și-au împărțit deja conducerea noilor entități.
sgs_rnd1_003.wav| Băimăreanu-l urește lipsa de punctualitate și fățărnicia.| Băi, Mărea Nurgurește, lipsă de punctualitate și fățărnicia.
sgs_rnd1_004.wav| În acest cămin au prioritate studenții în an terminal.| În acest camin au prioritate studenții în an terminal.
sgs_rnd1_005.wav| Dincolo de efectele economice și comerciale, greva ne face să avem și lipsă de încredere în justiție.| din coro de efectele economice și comerciale, greva ne face să avem și lips de încredere în justiție.
sgs_rnd1_006.wav| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți ilegale din apartamente.| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți ilegale din apartamente.
sgs_rnd1_007.wav| Amploarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la polele tâmpei.| Amplioarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la poalele tâmpei.
sgs_rnd1_008.wav|" Vreau să continu în acest domeniu până la sfârșitul vieții"", spune cu o mină foarte serioasă micuță."|" Vreau să continuăm în acest domeniu până la sfășitul vieții"", spune cu o mină foarte seriosă micuța."
sgs_rnd1_009.wav| Căzăturile sunt la ordine a zilei, am picioarele negre, sunt ca un dalmațian.| Casaturile sunt la ordinea zilei, am picioarele negre, sunt ca un dalmatian.
sgs_rnd1_010.wav| pe de altă parte, conform rezultatelor obținute.| de altă parte conform rezultatelor obținute.
sgs_rnd1_011.wav| nu este însă la fel de clar cu cât ar crește consumul și dependența de droguri.| Nu este, însă, la fel declar cu cătăr crește consumul și dependența de droguri.
sgs_rnd1_012.wav| Departajarea se face pe probe de 50 de metri care trebuiesc parcurse in 10 secunde.| de partajarea se face pe probe de 50 de metri care trebuiesc parcurse in 10 secunde.
sgs_rnd1_013.wav| o păstrez ca amintirele loc de cinste amintește informaticianul.| păstrez ca amintirele loc de cinstel și crește informaticianul.
sgs_rnd1_014.wav| Sabau spune ca stilul de joc al lancierilor este același ca și pe vremea când juca ele în Olanda.| BAU spune că stilul de joc al lancielor este același ca și pe vremea când zuca el în Oranda.
sgs_rnd1_015.wav| M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spună ea.| M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spune ea.
sgs_rnd1_016.wav| Dacă îi prindem, nu îi exmatriculăm din facultate.| Dacă îi prindem noi, exmătricurăm din facultar.
sgs_rnd1_017.wav| Pe langa caini batrani avem si catei foarte draguti si inteligenti.| pe lângă câini bătrâni avem și căţei foarte drăguţi şi inteligenti.
sgs_rnd1_018.wav| Ion Tirinescu deține funcția de șef al Poliției Rutiere cu nedoara din anul 2005.| Ion Tirinescu deține funse de șef al poliției rutiere cu nedoră din anul 2005.
sgs_rnd1_019.wav| răspunde nu numai de funcționarea optimă, ci și de asigurarea banilor pentru toată cheltuielile radioului.| Răspunde nu numai de funcționarea optima, ci și de asigurare a banii pentru toate cheltuierile radeului.
sgs_rnd1_020.wav| Ea plăcut jurnalismul și pentru a ajunge să fie formator de opinie a început Facultatea la Pitești.| și a pregut jurnalismul și pentru a ajunge să fie formător de opinie, a început facultatea la Pitești.
sgs_rnd1_021.wav| Sunt unii care au descoperit pe aceste rețele foșcolești de școală.| sunt unii care au descoperit pe aceste retrefoși colegi de școală.
sgs_rnd1_022.wav| Arădenii sunt din ce în ce mai speriasc la gândul că trebuie să circule pe drumul Aradșirii.| Arădenii sunt din ce în cea mai speriază gândul că trebuie să circule pe drumul arădjirii.
sgs_rnd1_023.wav| Pe toate rutelești din județul Vâlcea se fac, începând de săptămână aceasta, controale care vizează activitățile de transport persoane.| Trate rutele din județul Voricea se fac începând de săptămâna aceasta controlă care vizează activitățile de transport persoană.
sgs_rnd1_024.wav| Capitala și nord-estul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante.| Capitala și nord-estul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante.
sgs_rnd1_025.wav| Vechile cabinete erau la o distanță de 150 de metri de spital și nu corespundeau reglementările Ministerului de Sănătătăță.| pe vechile cabinete erau la o distanță de 150 de metri de spital și nu corespundeau reglementările unii drăgui sănătăței.
sgs_rnd1_026.wav| Fără aceste două elemente de bază, nu ai cum să lucrezi cu niciun copil.| Fără aceste două elemente de bază, nu ai cum să lucrezi cu niciun copil.
sgs_rnd1_027.wav| Dorim să atragem finanțarea printr-un program transfrontalier cu Republica Moldova.| vă dolim să atragem finanțarea printr-un program transfontalier cu Republică Moldovă.
sgs_rnd1_028.wav| La ora actuală, oamenii sunt preocupați de a avea și nu mai sunt preocupați de a fi.| La ora actuală, oamenii îi încălc pe opas de a-vi aș fi și nu mai sunt încălc pe opas de a fi.
sgs_rnd1_029.wav| Românii din străinătate nu există pentru autoritățile române de acolo, a oftat mamă barbatului.| României din străinătate nu există pentru autoritățile române de acolo, aftat manul bărbatului.
sgs_rnd1_030.wav| De asemenea, este organizat și Campionatul Național de Car Audio.| De asemenea, este organizat ci Campionatul Național de Caraudio.
sgs_rnd1_031.wav| printre taxele cele mai mari le are Facultatea de Drept.| dintre taxele cele mai mari le are Facultatea de Drept.
sgs_rnd1_032.wav| Comitetul de Implementare are rolul de a supravega îndeplinire obligațiilor ce revin părților la convenție.| Comitetul de Implementare are rolul deasupravechean de plinirea obligatilor ce revin parților la convenție.
sgs_rnd1_033.wav| locația a fost stabilită de către inspectoratul scolar ARAD la gădinița cu program prengit situat în centrul orașului.| locația a fost stabilită de către inspecturatul scolar a rad la gredinița cu program prelungit situat în centrul orașului.
sgs_rnd1_034.wav| precisează Gheorghe Crivac, unul dintre prorectorii Universității Pitești.| precizează Gheorghi Clivac, unul dintre prolectorii Universității Pitești.
sgs_rnd1_035.wav| Uneori suntem chiar mai bune decat ei.| Uneori suntem chiar mai bune decât ei.
sgs_rnd1_036.wav| compania mai are activități în domenii precum imobiliare, tehnologie și energie.| compania mai are activități în domenii precum imobiliare, tehnologie și energie.
sgs_rnd1_037.wav| Am fost cu mama si cu sora mea.| Am fost cu mama și cu sora mea.
sgs_rnd1_038.wav| Din prima până în ultima secundă, convorbirea telefonică e o beștelială de cartier aplicată cu toată impetuozitatea sărmanului cetățean.| din prima până în ultima secundă convorbirea telefonică i-au beșteleală de cartier aplicată cu toată impetuositatea sărmanului Licitățean.
