Audio File|Original Transcription|Synthesized Transcription
bas_rnd1_001.wav| De asemenea, contează și dacă imobilul este la stradă sau nu.| De asemenea contează și dacă imobilul este la stradă sau nu.
bas_rnd1_002.wav| până în prezent proiectul avea sustinere a ambelor partide, care și-a împărțit deja conducerea noilor renditălți.| Până în prezent, proiectul avea susținere a ambelor partide, care și-au împărțit deja conducerea noilor entități.
bas_rnd1_003.wav| Măreanul urăște lipsa de punctualitate și fățănicia.| Măreanul urăște lipsa de punctualitate și fățărnicia.
bas_rnd1_004.wav| în acest camin au prioritate studenții în ani terminali.| În acest camin au prioritate studenții în anii terminali.
bas_rnd1_005.wav| dincolo de efectele economice și comerciale, dreva ne face să avem și lipsă de încredere în justiție.| Dincolo de efectele economice și comerciale, greva ne face să avem și lipsă de încredere în justiție.
bas_rnd1_006.wav| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereții legale din apartamente.| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți illegale din apartamente.
bas_rnd1_007.wav| Ampluarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la poalele tâmpei.| Amploarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentice germane la poalele tâmpei.
bas_rnd1_008.wav|" Vreau să continu în acest domeniu până la sfârșitul vieții"", spune cu o mină foarte serioasă micuța."|" Vreau să continu în acest domeniu până la sfârșitul vieții"", spune cu o mină foarte serioasă micuța."
bas_rnd1_009.wav| Căzăturile sunt la ordine a zilei. Am picioarele negre, sunt ca un dalmatian.| Căzăturile sunt la ordine a zilei. Am picioarele negre, sunt ca un dalmațian.
bas_rnd1_010.wav| pe de altă parte conform rezultate lor obținute.| pe de altă parte conform rezultate lor obținute.
bas_rnd1_011.wav| Nu este însă la fel de clar cu cât ar crește consumul și dependența de droguri.| Nu este însă la fel de clar cu cât ar crește consumul și dependența de droguri.
bas_rnd1_012.wav| Departajarea se face pe probe de 50 de metri care trebuiesc parcurse în 10 secunde.| Departajarea se face pe probe de 50 de metri care trebuiesc parcurse în 10 secunde.
bas_rnd1_013.wav| O păstrez ca amintire la loc de cinste, își amintește informaticianul.| O păstrez ca amintire la loc de cinste își amintește informaticianul.
bas_rnd1_014.wav| Sabau spune că stilul de joc al lăncierilor este același ca și pe vremea când juca el în Olanda.| Sabau spune că stilul de joc al lâncierilor este același ca și pe vremea când jucar el în Olanda.
bas_rnd1_015.wav| M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spune ea.| M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spune ea.
bas_rnd1_016.wav| Dacă îi prindem, nu îi exmatriculăm din facultate.| Dacă îi prindem, nu îi exmadriculăm din facultate.
bas_rnd1_017.wav| Pe lângă câini bătrâne avem și căței foarte drăguți și inteligenți.| Pe lângă câini bătrâne avem și căței foarte drăguți și inteligenti.
bas_rnd1_018.wav| Ion Tirinescu deține funcția de șef al poliției rutiere Hunedoara din anul 2005.| Ion Tirinescu deține funcția de șef al Poliției Rutiere Hunedoara din anul 2005.
bas_rnd1_019.wav| răspunde nu numai de funcționarea optimă, ci și de asigurarea baniilor pentru toate cheltuielile radio-ului.| Răspunde nu numai de funcționarea optimă, ci și de asigurarea banilor pentru toate cheltuielile radio-ului.
bas_rnd1_020.wav| I-a plăcut jurnalismul și pentru a ajunge să fie formator de opinie a început facultatea la Piteh.| I-a plăcut jurnalismul și pentru a ajunge să fie formator de opinie a început facultatea la Pitei.
bas_rnd1_021.wav| Sunt unii care au descoperit pe aceste rețele foșcolești de școală.| Sunt unii care au descoperit pe aceste rețele foșcolești de școală.
bas_rnd1_022.wav| Arădenii sunt din ce în ce mai speriați la gândul că trebuie să circule pe drumul Arad și Ria.| Arădenii sunt din ce în ce mai speriați la gândul că trebuie să circule pe drumul Arad și Ria.
bas_rnd1_023.wav| Pe toate rutele din județiul Vâlcea se fac, începând de săptămâna aceasta, controale care vizează activitățile de transport persoane.| Pe toate rotele din judeciul Vâlcea se fac, începând de săptămâna aceasta, controle care vizează activitățile de transport persoane.
bas_rnd1_024.wav| Capitala și nord-estul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante.| capitala și nord-estul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante.
bas_rnd1_025.wav| Vechile cabinete erau la o distanță de 150 metri de spital și nu corespundeau reglementărilor Ministerului sănătății.| Vechile cabinete erau la o distanță de 150 metri de spital și nu corespundeau reglementărilor Ministerului sănătății.
bas_rnd1_026.wav| Fără aceste două elemente de bază, nu ai cum să lucrezi cu niciun copil.| Foara aceste două elemente de bază nu ai cum să lucrezi cu niciun copil.
bas_rnd1_027.wav| Dorim să atragem finanțarea printr-un program transfrontalier cu Republica Moldova.| Dorim să atragem finanțarea printr-un program transfrontalier cu Republica Moldova.
bas_rnd1_028.wav| La ora actuală, oamenii sunt preocupați de a avia și nu mai sunt preocupați de a fi.| La ora actuală, oamenii sunt preocupați de a avea și nu mai sunt preocupați de a fi.
bas_rnd1_029.wav| Românii din străinătate nu există pentru autoritățile române de acolo, a oftat mama bărbatului.| Românii din străinătate nu există pentru autoritățile române de acolo, a oftat mama bărbatului.
bas_rnd1_030.wav| De asemenea este organizat și Campionatul Național de Caraudio.| De asemenea, este organizat și Campionatul Național de Caraudio.
bas_rnd1_031.wav| printre taxele cele mai mari le are Facultatea de Drept.| printre taxele cele mai mari le are Facultatea de Drept.
bas_rnd1_032.wav| Comitetul de Implementare are rolul de a supravegea îndeplinirea obligaților ce revin părților la convenție.| Comitetul de Implementare are rolul de a supravegea îndeplinirea obligaților ce revin părților la convenție.
bas_rnd1_033.wav| Locația a fost stabilită de către inspectoratul școlar Rarad la grădinița cu program prelungiții toată în centrul orașului.| Locația a fost stabilită de către inspectoratul școlar Arad la grădinița cu program prelungit situată în centrul orașului.
bas_rnd1_034.wav| Precizează Gheorghe Crivac, unul dintre prorectorii Universității Pitești.| Precizează Gheorghe Crivac, unul dintre prorectorii Universității Pitești.
bas_rnd1_035.wav| Uneori suntem chiar mai bune decat ei.| Uneori suntem chiar mai bune decât ei.
bas_rnd1_036.wav| Compania mai are activități în domenii precum imobiliare, tehnologie și energie.| Compania mai are activități în domeni precum imobiliare, tehnologie și energie.
bas_rnd1_038.wav| Din prima până în ultima secundă, convoarbirea telefonică e o beșteleală de cartiere aplicată cu toată impetuozitatea sârmanului cetățean.| Din prima până în ultima secundă, convorbirea telefonică e o beșteleală de cartier aplicată cu toată impetuozitația sărmanului cetățean.
bas_rnd1_039.wav| În localitate există șase polițiști dintre care unul este în concediu și unul are mână ruptă.| În localitate există șase polițiși dintre care unul este în concediu și unul are mână ruptă.
bas_rnd1_040.wav| Încă de la prima accesare m-a atras foarte mult.| Încă de la prima accesare m-a atras foarte mult.
bas_rnd1_041.wav| Cât durează până câștigă, nu poate spune.| Cât durează până câștigă, nu poate spune.
bas_rnd1_042.wav| dacă și pe data de 30 septembrie se întârzie cu primirea avansului, pe 2 octombrie la ora 7.| Dacă și pe data de 30 septembrie se întârzie cu primirea avansului, pe 2 octombrie la ora 7.00.
bas_rnd1_043.wav| Copiii care tineau in brațe barcuțe cu telecomanda au înconjurat Fântâna Speranței, gata de cursă.| Copiii care țineau în brațe bărcuțe cu telecomandă au înconjurat Fântâna Speranței, gata de cursă.
bas_rnd1_044.wav| În blocul 6, două scări, adică aproximativ 30 de apartamente erau terminate când au venit actele de la primărie.| În blocul 6, două scări, adică aproximativ 30 de apartamente erau terminate când au venit actele de la primărie.
bas_rnd1_045.wav| a fost testat, alcol test, rezultatul fiind negativ.| a fost testat alcol test rezultatul fiind negativ.
bas_rnd1_046.wav| Până la urmă rămâi oricum doar cu amintirile plăcute, obosea la trece cu un somn bun.| Până la urmă rămâi oricum doar cu amintirile plăcute. O bosea la trece cu un somn bun.
bas_rnd1_047.wav| De atunci am invatat foarte multe persoane sa danseze pe diferite ritmuri.| De atunci am învățat foarte multe persoane să danseze pe diferite ritmuri.
bas_rnd1_048.wav| După ce i-au administrat înghejirile de urgență, medicii l-au dus la reanimare, unde se află sub supraveghere de specialitate.| După ce i-au administrat îngrijirile de urgență, medicii l-au dus la reanimare unde se află sub supraveghere de specialitate.
bas_rnd1_049.wav| Viorica Crisan, directorul muzeului, stă zilnic peste program la serviciu.| Viorica Crișan, directorul muzeului, stă zilent peste program la serviciu.
bas_rnd1_050.wav| Eșecul statului federal în fața cicloanelor rămâne unul din cele mai profunde stigmate ale președenției lui George.| Eșecul statului federal în fața cicloanelor rămâne unul din cele mai profunde stigmate ale președenției lui George.
bas_rnd1_051.wav| Cel mai mare succes la vânzări l-a avut imediat după debut.| Cel mai mare succes la vânzări l-a avut imediat după debut.
bas_rnd1_052.wav| Parfumul reflectă atitudinea și stilul unic al unei femei a spus cântăreața.| Parfumul reflectă atitudinea și stilul unic al unei femei a spus cântăreața.
bas_rnd1_053.wav| Responsabil pentru această stare de lucruri este consumul prea mare de alcool și fumatul excesiv.| Responsabil pentru această stare de lucruri este consumul prea mare de alcool și fumatul excesiv.
bas_rnd1_054.wav| Carleton de Burg este situat la aproximativ 15 km de aeroportul din oras.| Carlton de Burg este situat la aproximativ 15 km de aeroportul din Oral.
bas_rnd1_055.wav| ar trebui să mai angajeze preoți.| ar trebui să mai angajeze preori.
bas_rnd1_056.wav| bai mărenii vor putea cumpăra produse chiar și cu 5 lei| Goimărenii vor putea cumpăra produse chiar și cu 5 lei.
bas_rnd1_057.wav| Familie casătorită are doi copii și doi nepotii.| Familie casătoriță are doi copii și doi nepărți.
bas_rnd1_058.wav| Mi-au placut oamenii si mereu am avut incredere in oameni.| Mi-a placut oamenii si mereu am avut incredere in oameni.
bas_rnd1_059.wav| a uitat că nu mai este propagandist de partid, ci reprezentant al statului român.| a uitat că nu mai este propagandist de partid, ci reprezentant al statului român.
bas_rnd1_060.wav| Această activitate este considerată comerții liciti de produse care atrage de la sine sanțiuni date de polițiștii comunitari.| Această activitate este considerată comerțilicit de produse care atrage de la sine sancțiuni date de politiștii comunitari.
bas_rnd1_061.wav| Doar în primele zile inspectorii au confiscat aproape jumătate de kilogram de aur nemarcat de la bijuterile din Timișoara.| Doar în primele zile inspectorii au confiscat aproape jumătate de kilogram de aur nemarcat de la bijuterile din Timișoară.
bas_rnd1_062.wav| Ei au făcut recurs și au solicitat judecătorilor curții de apel Timișoara să fie eliberați.| Ei au făcut recurs și au solicitat judecătorilor curții de apel Timișoara să fie liberali.
bas_rnd1_063.wav| și polițiștii se vor alătura colegilor lor care vor protesta în fața Palatului Parlamentului.| și polițiștii se vor alătura colegilor lor care vor protesta în fața Palatului Parlamentului.
bas_rnd1_064.wav| Artiștii armăni îmbrăcați în costume populare tradiționale au susținut și un spectacol cu melodii tradiționale populare din zona Moscopole.| Artiștii armănii îmbrăcați în costume populare tradiționale au susținut și un spectacol cu melodii tradiționale populare din zona Moscopole.
bas_rnd1_065.wav| Deocamdată lista este deschisă, spune Magda Gheorghezcu, purtător de cuvânt al AGOFM Maramurești.| Deocamdată lista este deschisă, spune Magda Gheorghezcu, purdător de cuvânt al AGE-O Femei Maramurești.
bas_rnd1_066.wav| Cu doi ani în urmă a fost demarată racordarea Severinului la rețeaua de gaze.| Cu 2 ani în urmă a fost demarată racordarea severinului la rețeaua de gaze.
bas_rnd1_067.wav| Studenții care învață la Universitatea Constantin Brâncoveanu se confruntă cu o problemă deosebit de gravă.| Studenții care învață la Universitatea Constantin Brâncoveanu se confruntă cu o problemă deosebit de gravă.
bas_rnd1_068.wav| Nu este o lege care se interzica, dar este un statut care nici nu este aprobat cel puțin.| Nu este o lege care să interzică, dar este un statut care nici nu este aprobat cel puțin.
bas_rnd1_069.wav| Explicatia cu necorelarea vitezelor este una simplista.| Explicatia cu necorelarea vitezelor este una simplista.
bas_rnd1_070.wav| Noile căpetenii de la București erau nerăbdătoare să ia lumină de la Moscova.| Noile căpetenii de la București erau nerăbdătoare să ia lumină de la Moscova.
bas_rnd1_071.wav| Alexandru Wancia a trăit 20 de ani la galați, unde a și deprins pasiunea pentru ambarcațiuni.| Alexandru Oancea a trăit 20 de ani la galați, unde a și deprins pasiunea pentru embarcațiuni.
bas_rnd1_072.wav| a traversat strada moment în care șase persoane s-au năpustit asupra ei.| a traversat strada moment în care șase persoane s-au înapustit asupra ei.
bas_rnd1_073.wav| Este foarte bine pentru pandurii că vor merge cu un moral bun la jocul cu steaua.| Este foarte bine pentru pandurii că vor merge cu un moral bun la jocul cu steaua.
bas_rnd1_074.wav| știu chiar înainte de a trece printr-un control medical de specialitate cum vor să nască.| fiu chiar înainte de a trece printr-un control medical de specialitate cum vor să nască.
bas_rnd1_075.wav| Honda a intrat în Formula 1 în 2005, când a cumpărat echipa Bar.| Honda a intrat in Formula 1 în 2005 când a cumpărat echipa Barca.
bas_rnd1_076.wav| Acesta ar urma să devină operațional la începutul lui 2011, potrivit Ager Press.| Acesta ar urma să devină operațional la începutul lui 2011, potrivit Ager Press.
bas_rnd1_077.wav| Ea nu este microbistă, dar cunoaște opțiunea mea și mă înțelege.| Ea nu este microbistă, dar cunoaște opțiunea mea și mă înțelege.
bas_rnd1_078.wav| Nu suntem îndreptătiți să mai luăm și alte măsuri.| Nu suntem îndreptățiți să mai luăm și alte măsuri.
bas_rnd1_079.wav| Eu primesc de la medicii de familie rapoarte zilnice în care îmi spun că toți suspectii sunt monitorizati.| Eu primesc de la medicii de familierea parte zilnice, în care îmi spun că toți suspectii sunt monitorizati.
bas_rnd1_080.wav| Grigore Anca, 40 de ani din comuna Plopsorru, s-a ucis vecina si a atarat-o pana la poarta altui localnic.| Grigore Anca, a 40 de ani, din comuna Plopsorul si a ucis vecina si a atarat-o pana la poarta altui localnic.
bas_rnd1_081.wav| Nu-mi dau seama cum va fi organizat traficul dacă se construiește podul.| Nu-mi dau seama cum va fi organizat traficul daca se construeste podul.
bas_rnd1_082.wav| Poliția rutieră a împlasat astăzi radare pe DN6.| Poliția rotieră a împlasat astăzi radare pe DN6.
bas_rnd1_083.wav| Îmi plac cartofii prăjiti foarte mult, a spus Gabriel safta.| Îmi plac cartofii prăjiți foarte mult, a spus Gabriel safta.
bas_rnd1_084.wav| M-au pandit pana au oprit masinile la semafor, apoi au venit spre mine trei barbati si trei femei.| M-au pandit pana au oprit masinile la semafor, apoi au venit spre mine trei barbari si trei femei.
bas_rnd1_085.wav| Consecințele ar fi catastrofale pentru sportul francez, a spus Michel Brun, vicepreședintele CNOSF.| Consecințele ar fi catastrofale pentru sportul francez, a spus Michel Brun, vicepreședintele CNOSF.
bas_rnd1_086.wav| După primele cercetări, se pare că șoferul autoturismului, Fiat Punto, a pierdut controlul volanului.| După primele cercetări, se pare că șoferul autoturismului Fiat Punto ar dedu controlul volanului.
bas_rnd1_087.wav| Zilnic, traficul rutier de pe cele mai mari străze ale orașului este îngreunat de căruțași.| Zilnic, traficul rutier de pe cele mai mari străze ale orașului este îngreunat de căruțari.
bas_rnd1_088.wav| Și așa, procesele durează mult, acum vor dura și mai mult, precizează mintașul.| Și așa procesele durează mult. Acum vor dura și mai mult. Precizează mintea.
bas_rnd1_089.wav| Folcul ține de starea de Spirit a fiecăruia dintre noi.| Polcul ține de starea de spirit a fiecăria dintre noi.
bas_rnd1_090.wav| Acesta este evident visul în ei nopți de vară care va rămâne un vis.| Acesta este evident visul rinops de vară care va rămâne un vis.
bas_rnd1_091.wav| Târgul reunește importatori, producători și comerciali din toată țara și cu produse de toate felurile.| Cârgul reunește importatori, producători și comerciați din toată țara și cu produse de toate felurile.
bas_rnd1_092.wav| 16 ani într-o companie multinacională, dintre care 12 ani pe poziția de director general este prea mult.| 16 ani într-o companie multinacională, dintre care 12 ani pe poziția de director general este prea mult.
bas_rnd1_093.wav| Activitățile de aici sunt o relaxare pentru noi.| Activitățile de aici sunt o relaxare pentru noi.
bas_rnd1_094.wav| evoluția prețurilor cerute de către proprietarii care vând în rate au urmat tândința și variațiile pieței.| Evoluția prețurilor cerute de către proprietarii care vând în ratee au urmat tendința și variațile pieței.
bas_rnd1_095.wav| S-a făcut beznă în vagon, au căzut bagajele, a declarat pentru realitate TV unul dintre martori.| S-a făcut beznă în vagon, au căzut bagajele, a declarat pentru realitate TV unul dintre marturi.
bas_rnd1_096.wav| Brațul bărbatului a rămas în combină și a fost complet trivit.| Brațul bărbatului a rămas în combină și a fost complet privit.
bas_rnd1_097.wav| Pentru mine picatura este ca o tabletă de inimă, mă relaxează și mă face să mă simt minunat.| Pentru mine, picatura este ca o tabletă de inima, mă relaxează și mă face să mă simt minunat.
bas_rnd1_098.wav| Consiliul județean va demara în curând vânzarea cabinetelor medicale din policlinica Giurgiu.| Consiliul județean va demara în curând vânzarea cabinetelor medicale din policlinica Giurgiu.
bas_rnd1_099.wav| Aceste insule sunt denumite teritoriile de nord de Japonia și curile de sud de Rus.| Aceste insule sunt denumite teritoriile de nord de Japonia și curile de sud de Rui.
bas_rnd1_100.wav| Ea a fost o mă mică tânără și se laudă cu asta.| Ea a fost o momică tânără și se laudă cu asta.
bas_rnd1_101.wav| s-a intrat in Thai Break acolo unde Argentinianul l-a condus cu 6 la 3.| S-a intrat in tiebreak acolo unde Argentinianul a condus cu 6 la 3.
bas_rnd1_102.wav| și am spus clar că așa ceva nu pot accepta.| și am spus clar că așa ceva nu pot accepta.
bas_rnd1_103.wav| În opinia numeroși comentatori, aceasta este cea mai mare nerealizare a coaliției.| În opinia numeroși comentatori, aceasta este cea mai mare nerealizare a coaliției.
bas_rnd1_104.wav| A fost singura finală care s-a decis după trei seturi.| A fost singura finală care s-a decis după 3 seturi.
bas_rnd1_105.wav| Iar el este destul de stabil.| El este destul de stabil.
bas_rnd1_106.wav| În București nu cunoșteam pe nimeni, în Portugalia și Germania la fel.| În București nu cunoșteam pe nimeni, în Portugalia și Germania la fel.
bas_rnd1_107.wav| Avem dificultăți cu jucătorii de afară.| Avem dificultăți cu jucători de afară.
bas_rnd1_108.wav| Redacția vă garantează primirea volumelor.| Redacția vă garantează primirea volumelor.
bas_rnd1_109.wav| Cele de acum sunt lucruri făcute să se strice, am mai spus acesta.| Cele de acum sunt lucruri făcute să se strice, am mai spus acesta.
bas_rnd1_110.wav| Citește întreaga poveste al lui Pepe Petrina în ediția de astăzi a ziarului adevărul de seară.| Reșitește întreaga poveste al lui Pepe Petrina în ediția de astăzi a Ziarului Adevărul de Seară.
bas_rnd1_111.wav| Cauzele nu se cunosc oficial, însă cel mai probabil e vorba de faptul că a cedat terasamentul.| Causele nu se cunosc oficial, însă cel mai probabil e vorba de faptul că a cedat terasamentul.
bas_rnd1_112.wav| Cu toate că străzile sunt pline de cerșetori, autoritățile susțin că au rezultate notabile în lupta împotriva cerșetorii ei.| Cu toate că străzile sunt pline de cerșetori, autoritățile susțin că au rezultate notabile în lupta împotriva cerșetorii ei.
bas_rnd1_113.wav| Valoarea bunurilor sarvate depășește suma de 50.000 de lei.| Valoarea bunurilor sarvate depășește suma de 50.000 de lei.
bas_rnd1_114.wav| Voi căuta întot orașul pentru că nu vreau să-mi știrbesc colecția, a spus tânăra.| Voi căuta-n tot orașul pentru că nu vreau să-mi știrbesc colectia, a spus tânăra.
bas_rnd1_115.wav| 86 de persoane au fost legitimate iar 11 cetateni au fost conduși la sediul poliției.| 86 de persoane au fost legitimate iar 11 cetățeni au fost conduși la sediul poliției.
bas_rnd1_116.wav| Răzvan Cocișe a evoluat 85 de minute la oaspet.| Răzvan corcișe a evoluat 85 de minute la oasprit.
bas_rnd1_117.wav| Eu lucrez din 1992 in domeniul, dar nu am mai intalnit asa ceva.| Eu lucrez din 1992 in domeniu, dar nu am mai intalnit asa ceva.
bas_rnd1_118.wav| Erorile ne-au constat.| Erorile ne-au costat.
bas_rnd1_119.wav| Primele doze ale vaccinului impotriva gripei a H1N1 vor fi disponibile începând de săptămâna viitoare.| Primele doze ale vaccinului impotriva gripei AH1N1 vor fi disponibile începând de săptămâna viitoare.
bas_rnd1_120.wav| Până în luna septembrie, alte peste 30 de autorizații au fost eliberate pentru construcțiile rezidențiale din Banat.| Până în luna septembrie alte peste 30 de autorizații au fost eliberate pentru construcțiile rezidențiale din Banat.
bas_rnd1_121.wav| Suntem în grafic cu angajamentele asumate în protocolul semnat cu Ministerul transportului și CNADNR la începutul anului.| Suntem în grafic cu angajamentele asumate în protocolul semnat cu Ministerul transportului și CNADNR la începutul anului.
bas_rnd1_122.wav| Artea înseamnă sacrificiul.| Artă înseamnă sacrificiul.
bas_rnd1_123.wav| Oamenii s-au trezit de nenumărate ori cu un cal sau o vacă în fața mașinii.| Oamenii s-au trezit de nenumărate oricum cald sau o vac în fața mașinii.
bas_rnd1_124.wav| Valoarea estimata lucrurilor este de 16 milioane de lei.| Valoarea estimata a lucrărilor este de 16 milioane de lei.
bas_rnd1_125.wav| Asta până când tatălui lui s-a îmbolnăvit de cancer.| asta pana cand tatal lui s-a imbolavit de cancer
bas_rnd1_126.wav| Simteam ca o iau razna, asa ca am mers la un psiholog.| Simteam ca o iau razna, asa ca am mers la un psiholog.
bas_rnd1_127.wav| Georgica Cornu, Frații Cristescu sau Romeo Dunca sunt cei care analizează această opțiune.| Georgica Cornu, Franții Clistescu sau Romeo Dunca sunt cei care analizează această opțiune.
bas_rnd1_128.wav| Că-i place pesticlă și vrea să câștige cât mai mult spațiu.| Îi place pesticlă și vrea să câștige cât mai mult spațiu.
bas_rnd1_129.wav| De asemenea, nevăzătorii vor primi un pliant plastifiat în limbajul brai și vor beneficia de întrumări speciale.| De asemenea, nevăzătorii vor primi un pliant plastifiat în limbajul bralii și vor beneficia de întrumări speciale.
bas_rnd1_130.wav| Mașina nu accelerează vânzările de case.| Mașina nu acelerează vânzările de case.
bas_rnd1_131.wav| După o săptămână de pauză, fostul antrenor principal, Stefan Apostol, a revenit la echipă.| După o săptămână de pauză, fostul antrenor principal, Ștefan Apostol, a revenit la echipă.
bas_rnd1_132.wav| Tarife decente sunt oferite pentru revelion la mai multe pensiuni din Maramures, Bucovina, Albacari Eseni, Azuga si Busteni.| Tarife decente sunt oferite pentru revelion la mai multe pensiuni din Maramureș, Bucovina, Albaca, Rieseni, Azuga și Bușteni.
bas_rnd1_133.wav| Lăvea birourile a runcat vreo 3 scaune.| Lovea birourile a aruncat vreo 3 scaune.
bas_rnd1_134.wav| La casa de cultura studenților poate fi urmărit de la ora 21.| La casa de cultura, studenților poate fi urmărit de la ora 21.
bas_rnd1_135.wav| În consecință, prima înfățișare va avea loc în luna octombrie.| În consecință, prima înfățișare va avea loc în luna octombrie.
bas_rnd1_136.wav| Acesta este prețul la care ajunge un echipament complet pentru o singură persoană.| Acesta este prețul la care ajunge un echipament complet pentru o singură persoană.
bas_rnd1_137.wav| În urma lui a rămas o baltă de sânge pe caldarâm.| În urma lui a ramas o baltă de sânge pe caldărâm.
bas_rnd1_138.wav| Pe lângă clienții fidel, locul de joacă are asigurată clientela din rândul părinților care își fac împărăturile din supermarket.| Pe lângă clienții fidel, locul de joacă are asigurată clientela din rândul părinților care își fac împărăturile din supermarket.
bas_rnd1_139.wav| De ce eu am scăpat? Nu știu nici azi.| De ce eu am scăpat? Nu știu nici azi.
bas_rnd1_140.wav| Lipsesc 50 de lei.| Lipsesc 60 de lei.
bas_rnd1_141.wav| Alții sunt însă mai pesimii.| Alții sunt însă mai pesimili.
bas_rnd1_142.wav| Unul care până în ultima clipă a vieții sale s-a mândrit cu crimele comise.| Unul care până în ultima clipa vieții sale s-a mândrit cu crimele comise.
bas_rnd1_143.wav| Ion Buica s-a despărțit de soția lui în urmă cu doi ani.| Ion Buica s-a despărțit de suția lui în urmă cu doi ani.
