Audio File|Original Transcription|Synthesized Transcription
sgs_rnd1_001.wav| De asemenea, contează și dacă imobilul este la stradă sau nu.| De asemenea, contează și dacă imobilul este la stradă sau nu.
sgs_rnd1_002.wav| Până în prezent proiectul avea susținere a ambelor partide care și-au împărțit deja conducerea noilor entități.| Până în prezent, proiectul a avea susținere a ambelor partide, care și-au împărțit deja conducerea noilor entități.
sgs_rnd1_003.wav| Băimăreanul urește lipsa de punctualitate și fățărnicia.| Măreanul gurește lipsa de punctualitate și fățărnicia.
sgs_rnd1_004.wav| În acest cămin au prioritate studenții în an terminal.| În acest camin au prioritate studenții în an terminal.
sgs_rnd1_005.wav| Dincolo de efectele economice și comerciale, greva ne face să avem și lipsă de încredere în justiție.| din culo de efectele economice și comerciale, greva ne face să avem și lips de încredere în justiție.
sgs_rnd1_006.wav| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți ilegale din apartamente.| Dacă vecinii nu reclamă, noi nu putem depista spargerile de pereți illegale din apartamente.
sgs_rnd1_007.wav| Amploarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la polele tâmpei.| Amploarea nu va fi aceeași, dar organizatorii se vor strădui să aducă produse autentic germane la polele tâmpei.
sgs_rnd1_008.wav|" Vreau să continu în acest domeniu până la sfârșitul vieții"", spune cu o mină foarte serioasă micuță."|" Vreau să continu în acest domeniu până la sfârșitul vieții"", spune cu o mină foarte serioasă micuță."
sgs_rnd1_009.wav| Căzăturile sunt la ordine a zilei, am picioarele negre, sunt ca un dalmațian.| Căzăturile sunt la ordine zilei, am picioarele negre, sunt ca un darmațian.
sgs_rnd1_010.wav| pe de altă parte, conform rezultatelor obținute.| de altă parte conform rezultatelor obținute.
sgs_rnd1_011.wav| nu este însă la fel de clar cu cât ar crește consumul și dependența de droguri.| Noi suntem însă la fel de clar cu cât ar crește consumul și dependența de droguri.
sgs_rnd1_012.wav| Departajarea se face pe probe de 50 de metri care trebuiesc parcurse in 10 secunde.| Departajarea se face pe probe de 50 de metri care trebuiesc parcurse în 10 secunde.
sgs_rnd1_013.wav| o păstrez ca amintirele loc de cinste amintește informaticianul.| o păstrez ca amintire la loc de 500 își amintește informaticianul.
sgs_rnd1_014.wav| Sabau spune că stilul de joc al lâncielor este același ca și pe vremea când juca ele în Olanda.| Sabau spune că stilul de joc al lâncielor este același ca și pe vremea când zuc a ele în Orlanda.
sgs_rnd1_015.wav| M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spună ea.| M-am înțeles bine cu toată echipa, mi-a plăcut foarte mult, spune ea.
sgs_rnd1_016.wav| Dacă îi prindem, nu îi exmatriculăm din facultate.| dacă îi prindem noi exmatricul am din facultat.
sgs_rnd1_017.wav| Pe langa caini batrani avem si catei foarte draguti si inteligenti.| Pe lângă căini bătrâne avem și căţei foarte drăguţi şi inteligenţi.
sgs_rnd1_018.wav| Ion Tirinescu deține funcția de șef al Poliției Rutiere cu nedoara din anul 2005.| Ion Tirinescu deține funcție de șef al poliției rutiere cu neduara din anul 2005.
sgs_rnd1_019.wav| răspunde nu numai de funcționarea optimă, ci și de asigurarea banilor pentru toată cheltuielile radioului.| Răspunde nu numai de funcționarea optimă, ci și de asigurarea banilor pentru toată cheltuielile radio-ului.
sgs_rnd1_020.wav| I-a plăcut jurnalismul și pentru a ajunge să fie formator de opinie a început Facultatea la Pitești.| I-a plăcut jurnalismul și pentru a ajunge să fie formător de opinie a început facultatea la Pitești.
sgs_rnd1_021.wav| Sunt unii care au descoperit pe aceste rețele foșcolești de școală.| sunt unii care au descoperit pe aceste rețele foși colegi de școală.
sgs_rnd1_022.wav| Aradenii sunt din ce în ce mai speriasc la gândul că trebuie să circule pe drumul Aradșirii.| Ardenii sunt din ce în cea mai speriaz la gândul că trebuie să circule pe drumul Aradjirii.
sgs_rnd1_023.wav| Pe toate rutelești din județul Vâlcea se fac, începând de săptămână aceasta, controale care vizează activitățile de transport persoane.| pe toate rutele din județul Vâlcea se fac, începând de săptămâna aceasta, controle care vizează activitățile din transport persoană.
sgs_rnd1_024.wav| Capitala și nord-estul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante.| capitala și nord-estul au cunoscut cele mai mari ritmuri de creștere ale sumelor restante.
sgs_rnd1_025.wav| Vechile cabinete erau la o distanță de 150 de metri de spital și nu corespundeau reglementările Ministerului de Sănătătăță.| Vechile cabinete erau la o distanță de 150 de metri de spital și nu corespundeau reglementările Ministerului de sănătătăt.
sgs_rnd1_026.wav| Fără aceste două elemente de bază, nu ai cum să lucrezi cu niciun copil.| Aceste două elemente de bază nu ai cum să lucrezi cu niciun copil.
sgs_rnd1_027.wav| Dorim să atragem finanțarea printr-un program transfrontalier cu Republica Moldova.| Dorim să atragem finanțarea printr-un problem transfrontalier cu Republica Moldova.
sgs_rnd1_028.wav| La ora actuală, oamenii sunt preocupați de a avea și nu mai sunt preocupați de a fi.| La ora actuală, oamenii sunt preocupați de a avea și nu mai sunt preocupați de a fi.
sgs_rnd1_029.wav| Românii din străinătate nu există pentru autoritățile române de acolo, a oftat mamă barbatului.| Românii din străinătate nu există pentru autoritățile române de acolo, a oftat mamă bărbatului.
sgs_rnd1_030.wav| De asemenea, este organizat și Campionatul Național de Car Audio.| De asemenea este organizat ci Campionatul Național de Car Audio.
